"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
422,409,-0.972708361813433,-0.0246665758980105,-0.400312469752477,0.0996272447555541,0.99875076531884,0.099875076531884,-0.969665030663764,-0.0278432236612878,-0.400204292447699,0.0996605016111749,0.998725796549707,0.0998725796549707,0,0.886072965011461,0.80125,-0.0162744967217906,0.0684126999623925,0.00572735109022281,0.461249064254912,0.00625103011901574,0.195282722743779,0.268407557822734,0.351053010512097
600,575,-0.934531342156965,0.157484235076554,-0.39997534591635,0.0997639976467095,0.998725796549707,0.0998725796549707,-0.931555725025333,0.149650505313094,-0.399957667408652,0.0998601976273114,0.998700828404793,0.0998700828404793,0,0.886535273786874,0.8025,-0.0154313564585468,0.0681119952591736,0.00565759240329396,0.460980643556805,0.00625148252441202,0.195283493789316,0.268400847633788,0.351044234186834
620,635,-0.908570115712363,0.241117530514343,-0.400143125574998,0.100370516383351,0.998700828404793,0.0998700828404793,-0.901061557977655,0.258330439970577,-0.400154234889854,0.100281360828896,0.998675860884083,0.0998675860884083,0,0.887356058076545,0.8025,-0.0153888665161268,0.0698281198859258,0.00609916145415044,0.46025315085276,0.00624631252435176,0.195282067550006,0.268394137612597,0.35103545808098
397,396,0.318756396021296,0.221084125303044,0.0989037537767275,0.100885322482826,0.0998675860884083,0.0998675860884083,0.304597275599731,0.214270865914658,0.0988692311981127,0.100859579475803,0.0998650893987561,0.0998650893987561,0,0.888467874601371,0.8,-0.0150856486772087,0.0692748257582874,0.00619276676279276,0.460231802873536,0.00624050287822656,0.195284419755341,0.268387427759157,0.351026682194528
184,168,-0.949362148104413,0.218779596844994,-0.400311986139128,0.100366794776116,0.998650893987561,0.0998650893987561,-0.944517803119483,0.219974584072147,-0.400238929219947,0.10031612874787,0.998625927715211,0.0998625927715211,0,0.876687053498001,0.80125,-0.0198826046211403,0.0681269044378554,0.00860547938274048,0.460396416119302,0.00624106800720145,0.195287728386813,0.268380718073463,0.351017906527473
413,418,-0.951512304698192,0.253208653355193,-0.400350624822744,0.0994321524791971,0.998625927715211,0.0998625927715211,-0.94474943500036,0.251769030190004,-0.400307184969619,0.0992828917132237,0.998600962067018,0.0998600962067018,0,0.86551453770266,0.805,-0.0147133356480048,0.0676027540771936,0.0109021364261069,0.46010391788628,0.00623873726650002,0.195282493687143,0.268374008555511,0.351009131079809
729,751,-1.01227186387941,0.318657214034737,-0.399484871534904,0.10146972934117,0.998600962067018,0.0998600962067018,-1.0124018578723,0.320459259117226,-0.399626519708141,0.101437676008508,0.998575997042966,0.0998575997042967,0,0.866319267791332,0.80375,-0.0149670177702489,0.0678845190041072,0.0109864430454197,0.460433282114778,0.00624488481607738,0.195284046728347,0.268367299205297,0.351000355851532
248,269,-0.980977923178708,0.201528599551568,-0.399601153377911,0.100388345755795,0.998575997042966,0.0998575997042967,-0.977606376612017,0.191417483142259,-0.399624091466361,0.100276402350812,0.99855103264304,0.0998551032643041,0,0.86710613869084,0.805,-0.0145325384817369,0.0680586203443864,0.0113385144568037,0.460360047479089,0.00624590209904195,0.195283309988767,0.268360590022817,0.350991580842636
328,356,0.808555344990372,0.288441025477882,-0.399722388298409,0.099137272880582,0.99855103264304,0.0998551032643041,0.807118275520485,0.297690211181528,-0.399707916751617,0.0990995707784884,0.998526068867224,0.0998526068867225,0,0.867999831384746,0.8025,-0.0146415489867411,0.0682177461188974,0.0114688021934599,0.460694188543605,0.00624610310680683,0.195286016689407,0.268353881008067,0.350982806053115
518,506,0.0376476425203947,0.348486964850604,0.0992129906015591,0.100755517968566,0.0998526068867225,0.0998526068867225,0.039187647423981,0.341148982066391,0.0993823455783005,0.100725328781659,0.0998501105715503,0.0998501105715503,0,0.869355934308333,0.80375,-0.0141029392124885,0.0679162204597487,0.0110252761910738,0.460004030848799,0.00625096055349423,0.19529262587722,0.268347172161041,0.350974031482964
800,773,-0.943509629813329,0.349874838567727,-0.400067436525152,0.0997154424429185,0.998501105715503,0.0998501105715503,-0.956337406100976,0.353490241646086,-0.40007981916806,0.0998074585822023,0.99847614318786,0.099847614318786,0,0.869762362166728,0.80375,-0.0142589994217907,0.067542072509414,0.0116457142417035,0.45976400571423,0.00625093499245283,0.195294755822268,0.268340463481737,0.350965257132177
484,486,0.105091936879321,0.305417460792559,0.100161949402188,0.100739309137451,0.099847614318786,0.099847614318786,0.109762998967715,0.288704575445614,0.100217965185837,0.100658132027106,0.099845118128428,0.099845118128428,0,0.870568008690751,0.8075,-0.0139868528650132,0.0672410610700073,0.0113201990352285,0.459777973108641,0.00624635923397141,0.195289256611207,0.26833375497015,0.350956483000748
744,759,-0.947257411795765,0.289934794429924,-0.400580526690002,0.100002220373822,0.99845118128428,0.099845118128428,-0.94698117496825,0.292876004536062,-0.400722784924944,0.100103517414588,0.998426220004748,0.0998426220004748,0,0.871071995891951,0.80875,-0.0136673839732972,0.0672300610874559,0.0114401615098247,0.459066911722774,0.00624746598624359,0.195296137875954,0.268327046626276,0.350947709088673
297,282,-0.983071795571101,0.228465471520908,-0.400081821123562,0.0991725503496569,0.998426220004748,0.0998426220004748,-0.978375323741573,0.236571118912511,-0.399940806674073,0.0991578865736665,0.998401259349248,0.0998401259349248,0,0.87151619821434,0.80875,-0.0135689931298977,0.0664107138048611,0.0116559593183833,0.458706785231211,0.00624809715155672,0.195293363627874,0.26832033845011,0.350938935395946
25,30,0.305290906555489,0.298356198250433,0.101454625781189,0.0997996422790417,0.0998401259349248,0.0998401259349248,0.313292866700293,0.297062595599781,0.101481795779906,0.0997403129371699,0.0998376299317764,0.0998376299317764,0,0.871602069166025,0.81,-0.0129400851296738,0.0666520892744257,0.0119647290673932,0.458777884208407,0.00624944528867678,0.195289829446154,0.268313630441649,0.350930161922561
